bc_max,bc_mean,bc_p90,clean_count_000,clean_count_030,clean_count_035,clean_count_040,clean_count_045,clean_count_050,closed_run_count,configured_clean_count,configured_g_domain_valid,configured_support_count,configured_support_domain_valid,configured_support_seed_count,configured_support_weight,error,g_domain_valid_000,g_domain_valid_030,g_domain_valid_035,g_domain_valid_040,g_domain_valid_045,g_domain_valid_050,item_name,num_prompt_runs,open_run_count,prompt_id,prompt_ref_len_sec,prompt_ref_len_valid,prompt_speech_ratio,prompt_speech_ratio_valid,raw_silent_token_count,sep_nonzero_count,source_silence_run_count,speaker,speech_run_count,split,support_count_000,support_count_030,support_count_035,support_count_040,support_count_045,support_count_050,support_domain_valid_000,support_domain_valid_030,support_domain_valid_035,support_domain_valid_040,support_domain_valid_045,support_domain_valid_050,support_seed_count_000,support_seed_count_030,support_seed_count_035,support_seed_count_040,support_seed_count_045,support_seed_count_050,support_weight_000,support_weight_030,support_weight_035,support_weight_040,support_weight_045,support_weight_050,valid_run_count
0.4535996913909912,0.2443113774061203,0.398428463935852,29.0,7.0,6.0,3.0,1.0,0.0,29.0,0.0,0.0,27.0,1.0,29.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,asi_train_arctic_a0011,29,0.0,arctic_a0011,3.180000066757202,1.0,1.0,1.0,0,0,0.0,asi,29.0,train,27.0,5.0,4.0,1.0,1.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,7.0,6.0,3.0,1.0,29.0,21.05044174194336,4.3800764083862305,3.519432306289673,0.8907199501991272,0.8907199501991272,0.0,29.0
0.4739750027656555,0.24280299246311188,0.36975919008255015,27.0,6.0,3.0,3.0,1.0,0.0,27.0,0.0,0.0,25.0,1.0,27.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,asi_train_arctic_a0012,27,0.0,arctic_a0012,3.059999942779541,1.0,1.0,1.0,0,0,0.0,asi,27.0,train,25.0,4.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,6.0,3.0,3.0,1.0,27.0,19.035602569580078,3.4832699298858643,0.8858325481414795,0.8858325481414795,0.8947950005531311,0.0,27.0
0.4876514673233032,0.24240072071552277,0.3587126135826111,52.0,12.0,7.0,3.0,2.0,0.0,52.0,0.0,0.0,50.0,1.0,52.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,asi_train_arctic_a0013,52,0.0,arctic_a0013,4.21999979019165,1.0,1.0,1.0,0,0,0.0,asi,52.0,train,50.0,10.0,5.0,1.0,2.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,12.0,7.0,3.0,2.0,52.0,37.57071304321289,8.750560760498047,4.416550636291504,0.8975303173065186,1.7895984649658203,0.0,52.0
0.4760564863681793,0.24463409185409546,0.3763491988182068,37.0,7.0,5.0,3.0,1.0,0.0,37.0,0.0,0.0,35.0,1.0,37.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,asi_train_arctic_a0014,37,0.0,arctic_a0014,3.700000047683716,1.0,1.0,1.0,0,0,0.0,asi,37.0,train,35.0,5.0,3.0,1.0,1.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,7.0,5.0,3.0,1.0,37.0,27.00995635986328,4.3947434425354,2.6459784507751465,0.8952113389968872,0.8952113389968872,0.0,37.0
,,,,,,,,,,,,,,,,"minimal_v1 prompt conditioning rejects prompt conditioning for asi_train_arctic_a0015: ref_len_sec=2.160 outside [3.0, 8.0]",,,,,,,asi_train_arctic_a0015,,,arctic_a0015,,,,,,,,asi,,train,,,,,,,,,,,,,,,,,,,,,,,,,
0.47512999176979065,0.24373015761375427,0.37899506092071533,35.0,8.0,6.0,2.0,1.0,0.0,35.0,0.0,0.0,33.0,1.0,35.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,asi_train_arctic_a0016,35,0.0,arctic_a0016,3.9600000381469727,1.0,1.0,1.0,0,0,0.0,asi,35.0,train,33.0,6.0,4.0,2.0,1.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,8.0,6.0,2.0,1.0,35.0,25.864242553710938,5.2310380935668945,3.4986720085144043,1.7830500602722168,0.8950260281562805,0.0,35.0
0.43994754552841187,0.24365068972110748,0.40195153355598456,30.0,7.0,5.0,3.0,0.0,0.0,30.0,0.0,0.0,28.0,1.0,30.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,bdl_train_arctic_a0009,30,0.0,arctic_a0009,3.2200000286102295,1.0,1.0,1.0,0,0,0.0,bdl,30.0,train,28.0,5.0,3.0,1.0,28.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,7.0,5.0,3.0,30.0,30.0,20.447574615478516,4.406923770904541,2.660557985305786,0.8879895210266113,0.0,0.0,30.0
0.4632170796394348,0.244330495595932,0.40945576429367064,29.0,5.0,5.0,5.0,1.0,0.0,29.0,0.0,0.0,27.0,1.0,29.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,bdl_train_arctic_a0010,29,0.0,arctic_a0010,3.3399999141693115,1.0,1.0,1.0,0,0,0.0,bdl,29.0,train,27.0,3.0,3.0,3.0,1.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,5.0,5.0,5.0,1.0,29.0,20.490825653076172,2.659360647201538,2.659360647201538,2.659360647201538,0.8926434516906738,0.0,29.0
0.431007981300354,0.2446087747812271,0.4115258485078812,12.0,2.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,10.0,1.0,12.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,bdl_train_arctic_a0011,12,0.0,arctic_a0011,3.119999885559082,1.0,1.0,1.0,0,0,0.0,bdl,12.0,train,10.0,2.0,2.0,2.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,2.0,2.0,2.0,12.0,12.0,7.899797439575195,1.7715480327606201,1.7715480327606201,1.7715480327606201,0.0,0.0,12.0
,,,,,,,,,,,,,,,,"minimal_v1 prompt conditioning rejects prompt conditioning for bdl_train_arctic_a0012: ref_len_sec=2.960 outside [3.0, 8.0]",,,,,,,bdl_train_arctic_a0012,,,arctic_a0012,,,,,,,,bdl,,train,,,,,,,,,,,,,,,,,,,,,,,,,
